ticker,start_date,end_date
DWDP,9/1/17,6/3/19
FLR,12/22/00,6/3/19
MAT,1/2/96,6/7/19
LLL,12/1/04,7/1/19
RHT,7/27/09,7/15/19
TMK,1/2/96,8/8/19
APC,7/28/97,8/9/19
FL,4/4/16,8/9/19
TSS,1/2/08,9/23/19
JEF,8/27/07,9/26/19
NKTR,3/19/18,10/3/19
BHGE,1/2/96,10/18/19
HCP,3/31/08,11/5/19
SYMC,3/31/03,11/5/19
CELG,11/6/06,11/21/19
CBS,1/2/96,12/5/19
VIAB,1/3/06,12/5/19
BBT,12/4/97,12/9/19
STI,1/2/96,12/9/19
JEC,10/26/07,12/10/19
AMG,7/1/14,12/23/19
MAC,5/9/13,12/23/19
TRIP,12/21/11,12/23/19
WCG,9/17/18,1/28/20
XEC,6/20/14,3/3/20
UTX,1/2/96,4/3/20
ARNC,1/2/96,4/6/20
M,1/2/96,4/6/20
RTN,1/2/96,4/6/20
AGN,1/2/96,5/12/20
CPRI,1/4/16,5/12/20
HP,3/1/10,5/22/20
ADS,12/23/13,6/22/20
HOG,1/31/00,6/22/20
JWN,1/2/96,6/22/20
CTL,3/25/99,9/18/20
COTY,10/3/16,9/21/20
HRB,1/2/96,9/21/20
KSS,8/14/98,9/21/20
ETFC,4/1/04,10/7/20
NBL,10/8/07,10/12/20
MYL,4/23/04,11/17/20
AIV,3/14/03,12/21/20
TIF,6/21/00,1/7/21
CXO,2/22/16,1/21/21
FTI,6/5/09,2/12/21
FLS,10/2/08,3/22/21
SLG,3/23/15,3/22/21
VNT,10/12/20,3/22/21
XRX,1/2/96,3/22/21
VAR,2/12/07,4/20/21
FLIR,1/2/09,5/14/21
HFC,6/18/18,6/4/21
ALXN,5/25/12,7/21/21
LB,1/2/96,8/3/21
MXIM,12/3/18,8/30/21
NOV,3/14/05,9/20/21
PRGO,12/19/11,9/20/21
UNM,1/2/96,9/20/21
COG,6/23/08,10/4/21
KSU,5/24/13,12/14/21
HBI,3/23/15,12/20/21
LEG,10/18/99,12/20/21
WU,10/2/06,12/20/21
WLTW,1/5/16,1/20/22
GPS,1/2/96,2/2/22
XLNX,11/8/99,2/15/22
VIAC,12/5/19,2/17/22
INFO,6/2/17,3/2/22
PBCT,11/13/08,4/4/22
DISCA,3/1/10,4/11/22
DISCK,8/7/14,4/11/22
BLL,1/2/96,5/10/22
CERN,4/30/10,6/8/22
FB,12/23/13,6/9/22
IPGP,3/7/18,6/21/22
UA,4/8/16,6/21/22
UAA,5/1/14,6/21/22
ANTM,7/25/02,6/28/22
PENN,3/22/21,9/19/22
PVH,2/14/13,9/19/22
CTXS,12/1/99,10/3/22
DRE,7/26/17,10/3/22
NLSN,7/9/13,10/12/22
TWTR,6/7/18,11/1/22
NLOK,11/5/19,11/8/22
FBHS,6/24/16,12/19/22
ABMD,5/31/18,12/22/22
VNO,8/12/05,1/4/23
SBNY,12/20/21,3/15/23
SIVB,3/19/18,3/15/23
LUMN,9/18/20,3/20/23
FRC,1/2/19,5/4/23
PKI,1/2/96,5/16/23
FISV,4/2/01,6/7/23
RE,6/19/17,6/10/23
DISH,3/13/17,6/20/23
AAP,7/9/15,8/25/23
ABC,8/30/01,8/30/23
LNC,1/2/96,9/18/23
NWL,1/2/96,9/18/23
DXC,4/4/17,10/2/23
ALK,5/13/16,10/18/23
ATVI,8/31/15,10/18/23
OGN,6/4/21,10/18/23
SEDG,12/20/21,10/18/23
SEE,4/1/98,10/18/23
CDAY,9/20/21,2/1/24
PEAK,11/5/19,3/4/24
WHR,1/2/96,3/18/24
ZION,6/25/01,3/18/24
FLT,6/20/18,3/25/24
VFC,1/2/96,4/3/24
XRAY,11/14/08,4/3/24
PXD,9/24/08,5/8/24
CMA,1/2/96,6/24/24
ILMN,11/19/15,6/24/24
RHI,12/5/00,6/24/24
WRK,7/2/15,7/8/24
AAL,3/23/15,9/23/24
BIO,6/22/20,9/23/24
ETSY,9/21/20,9/23/24
BBWI,8/3/21,10/1/24
MRO,1/2/96,11/26/24
AMTM,9/30/24,12/23/24
CTLT,9/21/20,12/23/24
QRVO,6/12/15,12/23/24
A,6/5/00,
AAPL,1/2/96,
ABBV,1/2/13,
ABNB,9/18/23,
ABT,1/2/96,
ACGL,11/1/22,
ACN,7/6/11,
ADBE,5/6/97,
ADI,10/12/99,
ADM,1/2/96,
ADP,1/2/96,
ADSK,1/2/96,
AEE,1/2/96,
AEP,1/2/96,
AES,10/2/98,
AFL,5/28/99,
AIG,1/2/96,
AIZ,4/10/07,
AJG,5/31/16,
AKAM,7/12/07,
ALB,7/1/16,
ALGN,6/19/17,
ALL,1/2/96,
ALLE,12/2/13,
AMAT,1/2/96,
AMCR,6/7/19,
AMD,3/20/17,
AME,9/23/13,
AMGN,1/2/96,
AMP,10/3/05,
AMT,11/19/07,
AMZN,11/21/05,
ANET,8/28/18,
ANSS,6/19/17,
AON,4/23/96,
AOS,7/26/17,
APA,7/28/97,
APD,1/2/96,
APH,9/30/08,
APO,12/23/24,
APTV,12/24/12,
ARE,3/20/17,
ATO,2/15/19,
AVB,1/10/07,
AVGO,5/8/14,
AVY,1/2/96,
AWK,3/4/16,
AXON,5/4/23,
AXP,1/2/96,
AZO,1/2/97,
BA,1/2/96,
BAC,1/2/96,
BALL,5/10/22,
BAX,1/2/96,
BBY,6/30/99,
BDX,1/2/96,
BEN,4/29/98,
BF.B,1/2/96,
